別紙　学部・研究科等組織ID一覧（2024年度）,,,,,
学部・研究科等組織ID,学校名,学部・研究科名称,所在地,課程区分,昼夜区分
0108-01-01-1X07-00-1,室蘭工業大学,理工学部,北海道,,昼間
0108-01-01-2G01-00-2,室蘭工業大学,工学部,北海道,,夜間
0108-01-01-2G01-00-2,室蘭工業大学,工学部 (夜間主),北海道,,夜間
0108-01-01-2G01-00-2,室蘭工業大学,工学部（夜間主）,北海道,,夜間
0108-01-01-2G01-00-2,室蘭工業大学,工学部（夜間主）（夜間）,北海道,,夜間
0108-01-01-2G01-02-1,室蘭工業大学,工学研究科,北海道,博士課程（前期）,昼間
0108-01-01-2G01-02-1,室蘭工業大学,工学研究科（博士課程(前期)）,北海道,博士課程（前期）,昼間
0108-01-01-2X07-00-2,室蘭工業大学,理工学部,北海道,,夜間
0108-01-01-2X07-00-2,室蘭工業大学,理工学部 (夜間主),北海道,,夜間
0108-01-01-2X07-00-2,室蘭工業大学,理工学部（夜間主）,北海道,,夜間
0108-01-01-4G01-03-1,室蘭工業大学,工学研究科,北海道,博士課程（後期）,昼間
0108-01-01-4G01-03-1,室蘭工業大学,工学研究科（博士課程(後期)）,北海道,博士課程（後期）,昼間
0112-01-01-1C28-00-1,小樽商科大学,商学部,北海道,,昼間
0112-01-01-1C28-00-1,小樽商科大学,商学部（昼間コース）,北海道,,昼間
0112-01-01-2C28-00-2,小樽商科大学,商学部,北海道,,夜間
0112-01-01-2C28-00-2,小樽商科大学,商学部（夜間）,北海道,,夜間
0112-01-01-2C28-00-2,小樽商科大学,商学部（夜間主）,北海道,,夜間
0112-01-01-2C28-00-2,小樽商科大学,商学部（夜間主コース）,北海道,,夜間
0112-01-01-2C37-02-1,小樽商科大学,商学研究科,北海道,博士課程（前期）,昼間
0112-01-01-2C37-02-1,小樽商科大学,商学研究科（博士課程(前期)）,北海道,博士課程（前期）,昼間
0112-01-01-2C37-02-1,小樽商科大学,商学研究科（博士前期課程）,北海道,博士課程（前期）,昼間
0112-01-01-4C37-03-1,小樽商科大学,商学研究科,北海道,博士課程（後期）,昼間
0112-01-01-4C37-03-1,小樽商科大学,商学研究科（博士課程(後期)）,北海道,博士課程（後期）,昼間
0112-01-01-4C37-03-1,小樽商科大学,商学研究科（博士後期課程),北海道,博士課程（後期）,昼間
0112-01-01-AC37-07-1,小樽商科大学,商学研究科,北海道,専門職学位課程,昼間
0112-01-01-AC37-07-1,小樽商科大学,商学研究科（専門職学位課程）,北海道,専門職学位課程,昼間
0116-01-01-1K05-00-1,帯広畜産大学,畜産学部,北海道,,昼間
0116-01-01-2K05-02-1,帯広畜産大学,畜産学研究科,北海道,博士課程（前期）,昼間
0116-01-01-2K05-02-1,帯広畜産大学,畜産学研究科（博士課程(前期)）,北海道,博士課程（前期）,昼間
0116-01-01-4K05-03-1,帯広畜産大学,畜産学研究科,北海道,博士課程（後期）,昼間
0116-01-01-4K05-03-1,帯広畜産大学,畜産学研究科（博士課程(後期)）,北海道,博士課程（後期）,昼間
0116-01-01-4K13-00-1,帯広畜産大学,畜産学部（修業年限６年）,北海道,,昼間
0116-01-01-6K05-04-1,帯広畜産大学,畜産学研究科,北海道,博士課程（医歯薬学、獣医学関係の一貫制課程）,昼間
0116-01-01-6K05-04-1,帯広畜産大学,畜産学研究科（博士課程（一貫））,北海道,博士課程（医歯薬学、獣医学関係の一貫制課程）,昼間
0120-01-01-1G01-00-1,北見工業大学,工学部,北海道,,昼間
0120-01-01-2G01-02-1,北見工業大学,工学研究科,北海道,博士課程（前期）,昼間
0120-01-01-2G01-02-1,北見工業大学,工学研究科（博士課程(前期)）,北海道,博士課程（前期）,昼間
0120-01-01-2G01-02-1,北見工業大学,工学研究科（博士前期課程）,北海道,博士課程（前期）,昼間
0120-01-01-4G01-03-1,北見工業大学,工学研究科,北海道,博士課程（後期）,昼間
0120-01-01-4G01-03-1,北見工業大学,工学研究科（博士課程(後期)）,北海道,博士課程（後期）,昼間
0120-01-01-4G01-03-1,北見工業大学,工学研究科（博士後期課程）,北海道,博士課程（後期）,昼間
0124-02-02-1A06-00-1,弘前大学,人文学部,青森,,昼間
0124-02-02-1A06-00-1,弘前大学,人文学部（群）,青森,,昼間
0124-02-02-1A19-00-1,弘前大学,人文（・）社会（科）学部（群）,青森,,昼間
0124-02-02-1A19-00-1,弘前大学,人文社会科学部,青森,,昼間
0124-02-02-1K15-01-1,弘前大学,農学生命科学研究科,青森,修士課程,昼間
0124-02-02-1K15-01-1,弘前大学,農学生命科学研究科（修士課程）,青森,修士課程,昼間
0124-02-02-1K24-00-1,弘前大学,農学生命科学部,青森,,昼間
0124-02-02-1M04-00-1,弘前大学,医学部,青森,,昼間
0124-02-02-1M04-00-1,弘前大学,医学部（保健学科）,青森,,昼間
0124-02-02-1S01-00-1,弘前大学,教育学部（教員養成以外）,青森,,昼間
0124-02-02-1S01-01-1,弘前大学,教育学研究科,青森,修士課程,昼間
0124-02-02-1S01-01-1,弘前大学,教育学研究科（修士）,青森,修士課程,昼間
0124-02-02-1S01-01-1,弘前大学,教育学研究科（修士課程）,青森,修士課程,昼間
0124-02-02-1S02-00-1,弘前大学,教育学部（教員養成）,青森,,昼間
0124-02-02-1X07-00-1,弘前大学,理工学部,青森,,昼間
0124-02-02-1X07-00-1,弘前大学,理工学部（域）（群）,青森,,昼間
0124-02-02-1X25-01-1,弘前大学,人文社会科学研究科,青森,修士課程,昼間
0124-02-02-1X25-01-1,弘前大学,人文社会科学研究科（修士課程）,青森,修士課程,昼間
0124-02-02-1Z68-01-1,弘前大学,地域共創科学研究科,青森,修士課程,昼間
0124-02-02-2G31-02-1,弘前大学,理工学研究科,青森,博士課程（前期）,昼間
0124-02-02-2G31-02-1,弘前大学,理工学研究科（博士課程(前期)）,青森,博士課程（前期）,昼間
0124-02-02-2M11-02-1,弘前大学,保健学研究科,青森,博士課程（前期）,昼間
0124-02-02-2M11-02-1,弘前大学,保健学研究科（博士課程(前期)）,青森,博士課程（前期）,昼間
0124-02-02-4G31-03-1,弘前大学,理工学研究科,青森,博士課程（後期）,昼間
0124-02-02-4G31-03-1,弘前大学,理工学研究科（博士課程(後期)）,青森,博士課程（後期）,昼間
0124-02-02-4M02-00-1,弘前大学,医学部,青森,,昼間
0124-02-02-4M02-00-1,弘前大学,医学部（医学科）,青森,,昼間
0124-02-02-4M02-00-1,弘前大学,医学部（群）（専門課程）,青森,,昼間
